,Infosec URL,Report Date,Filename,MD5,IsDLL,Antidbg,AntiVM,Signed,XOR,Packer1
5875,https://infosec.cert-pa.it/analyze/8c800ffad75d8a06314715452ea997d2.html,2018-11-04 12:15,SOA.exe,8c800ffad75d8a06314715452ea997d2,,,,,,
5876,https://infosec.cert-pa.it/analyze/0cee5c6bcf1eb3a4004801c6129c9241.html,2018-11-04 12:09,filesfjuds6fr22.exe,0cee5c6bcf1eb3a4004801c6129c9241,,Yes,Yes,,,
5877,https://infosec.cert-pa.it/analyze/2f0529539ea7976c27bfb88c72af2471.html,2018-11-04 6:36,5G86b4.jpg,2f0529539ea7976c27bfb88c72af2471,,,,Yes,,
5878,https://infosec.cert-pa.it/analyze/13d7ff84fbdc38c591b4abc68b7a93ef.html,2018-11-04 5:57,ecznf.jpg,13d7ff84fbdc38c591b4abc68b7a93ef,,Yes,,,,
5879,https://infosec.cert-pa.it/analyze/28a871b4115a6087c51b993b6c16c144.html,2018-11-04 5:51,jNL4kR.png,28a871b4115a6087c51b993b6c16c144,,,,Yes,,
5880,https://infosec.cert-pa.it/analyze/839020a4b9db1f0005023ed5568484be.html,2018-11-04 4:51,chrome.jpg,839020a4b9db1f0005023ed5568484be,,Yes,,Yes,,
5881,https://infosec.cert-pa.it/analyze/3ba508ab78582885eb54b2b30c7076e3.html,2018-11-04 4:42,sserv.jpg,3ba508ab78582885eb54b2b30c7076e3,,Yes,,Yes,,
5882,https://infosec.cert-pa.it/analyze/f367238aba3346d0d760675ec0af90f9.html,2018-11-04 4:00,kelvin.exe,f367238aba3346d0d760675ec0af90f9,,,,,,
5883,https://infosec.cert-pa.it/analyze/da36da7f708c0c13f66db0c65fed8f6c.html,2018-11-03 20:57,fy0gWB.jpg,da36da7f708c0c13f66db0c65fed8f6c,,,,Yes,,
5884,https://infosec.cert-pa.it/analyze/20b87fbb983b33db50c082d426fb0879.html,2018-11-03 20:54,PO-ZDX78600_pdf.exe,20b87fbb983b33db50c082d426fb0879,,,,,,
5885,https://infosec.cert-pa.it/analyze/2db03fe62d7a6fee5d966108043cfd8d.html,2018-11-03 20:45,qubjop.jpg,2db03fe62d7a6fee5d966108043cfd8d,,Yes,,,,
5886,https://infosec.cert-pa.it/analyze/cbd89fd4d12cdb67bc2bf9a0c4b2512c.html,2018-11-03 20:42,cyzmux.jpg,cbd89fd4d12cdb67bc2bf9a0c4b2512c,,Yes,,,,
5887,https://infosec.cert-pa.it/analyze/8c0ac48770df6ef0c788a70254417ead.html,2018-11-03 20:39,yajijm.jpg,8c0ac48770df6ef0c788a70254417ead,,Yes,,,,
5888,https://infosec.cert-pa.it/analyze/07585e87cb70bf1b30e5723a6be47f13.html,2018-11-02 23:39,sss.png,07585e87cb70bf1b30e5723a6be47f13,,,,,,
5889,https://infosec.cert-pa.it/analyze/0c22a5b5e552e17e9123d6d3a001604d.html,2018-11-02 23:36,radiance.png,0c22a5b5e552e17e9123d6d3a001604d,,,,,,
5890,https://infosec.cert-pa.it/analyze/38ef0cb01a4483a57dd9ff92a87e497f.html,2018-11-02 23:33,Pi.exe,38ef0cb01a4483a57dd9ff92a87e497f,,Yes,,,,
5891,https://infosec.cert-pa.it/analyze/a9f4c138818f170a4bfc036bf169a8bf.html,2018-11-02 22:57,arigato.exe,a9f4c138818f170a4bfc036bf169a8bf,,,,,,
