0,Borland Delphi 3.0 (???),Borland Delphi 4.0,Borland Delphi v3.0,,,
0,Borland Delphi 3.0 (???),Borland Delphi 4.0,Borland Delphi v3.0,,,
0,Microsoft Visual C++ 8,VC8 -> Microsoft Corporation,,,,
0,Microsoft Visual C++ 8,VC8 -> Microsoft Corporation,,,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,UPX -> www.upx.sourceforge.net,,,,,
0,Microsoft Visual Basic v5.0,Microsoft Visual Basic v5.0 - v6.0,,,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Nullsoft PiMP Stub -> SFX,,,,,
0,Nullsoft PiMP Stub -> SFX,,,,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Microsoft Visual Basic v5.0,Microsoft Visual Basic v5.0 - v6.0,,,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Borland Delphi 3.0 (???),Borland Delphi 4.0,Borland Delphi v3.0,Borland Delphi v6.0 - v7.0,BobSoft Mini Delphi -> BoB / BobSoft,
0,Borland Delphi 3.0 (???),,,,,
0,Borland Delphi 3.0 (???),,,,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Microsoft Visual C++ 8,VC8 -> Microsoft Corporation,,,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Microsoft Visual C++ 8,VC8 -> Microsoft Corporation,,,,
0,Microsoft Visual C++ 8,VC8 -> Microsoft Corporation,,,,
0,Microsoft Visual C++ 8,VC8 -> Microsoft Corporation,,,,
0,Microsoft Visual C++ 8,VC8 -> Microsoft Corporation,,,,
0,Microsoft Visual Basic v5.0,Microsoft Visual Basic v5.0 - v6.0,,,,
0,Microsoft Visual C++ 8,VC8 -> Microsoft Corporation,,,,
0,Microsoft Visual C++ 8,VC8 -> Microsoft Corporation,,,,
0,UPX v0.80 - v0.84,UPX 2.90 (LZMA),UPX -> www.upx.sourceforge.net,,,
0,Borland Delphi 3.0 (???),Borland Delphi 4.0,Borland Delphi v3.0,BobSoft Mini Delphi -> BoB / BobSoft,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,UPX -> www.upx.sourceforge.net,,,,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Microsoft Visual C# / Basic .NET,Microsoft Visual Studio .NET,.NET executable,Microsoft Visual C# v7.0 / Basic .NET,,
0,Upack V0.36-V0.37 (DLL) -> Dwing,Upack V0.28-V0.399 -> Dwing&nbsp; &nbsp;* Sign.By.fly * 20080321,Upack_Patch or any Version -> Dwing,"Upack v0.28 - 0.39 (relocated image base - Delphi, .NET, DLL or something else :) -> Dwing (h)",,
0,Upack V0.36-V0.37 (DLL) -> Dwing,Upack V0.28-V0.399 -> Dwing&nbsp; &nbsp;* Sign.By.fly * 20080321,Upack_Patch or any Version -> Dwing,"Upack v0.28 - 0.39 (relocated image base - Delphi, .NET, DLL or something else :) -> Dwing (h)",,
